UniProtId	Type	Annotations
A0A024R9X3	Data unknown	None
H7BXH0	Data unknown	None
D8L461	Data unknown	ECO:0000256|RuleBase:RU362117
L7NV51	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
R9Y438	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
B4DTW8	Data unknown	None
C9JTE0	Data unknown	None
I3L1G0	Data unknown	None
H9RN91	Data unknown	ECO:0000256|RuleBase:RU362117
V9Q9P5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361244, ECO:0000256|SAAS:SAAS00583102
B7SFD5	Data unknown	None
B2R871	Data unknown	None
H0YGV0	Data unknown	None
Q9UN23	Data unknown	None
X5D7F5	Data unknown	None
E5E1I7	Data unknown	None
S4R3E1	Data unknown	None
M0QXU8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363107
Q9NV34	Data unknown	None
A0A059QNT1	Data unknown	None
A0A059QAQ1	Single-pass membrane protein	ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291
H7BYG7	Data unknown	ECO:0000256|SAAS:SAAS00582638
A0A075QVS9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
A0A096ZUH4	Data unknown	None
E4W3V9	Data unknown	None
Q8N605	Data unknown	None
A0A1U9WYQ7	Data unknown	None
B6ETP8	Data unknown	None
E7EVM8	Data unknown	None
F8W9W8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU362056
C9J0F8	Data unknown	None
H9E7E0	Data unknown	ECO:0000256|RuleBase:RU362117
J3QRF9	Data unknown	None
Q6DK41	Data unknown	ECO:0000256|RuleBase:RU003500, ECO:0000256|SAAS:SAAS00681827
B7Z3R3	Data unknown	None
A0A0A0MTJ5	Data unknown	None
G9LI16	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
Q8N2P5	Data unknown	None
A0A075B738	Data unknown	None
Q6ZN83	Data unknown	None
A0A023I7N8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
Q53RE7	Data unknown	None
A8K8R5	Data unknown	None
B4DSV8	Data unknown	None
V5JJK6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
F6XSS0	Data unknown	None
Q4LE67	Data unknown	None
E9PFB5	Data unknown	None
A0A0A8WEA9	Data unknown	None
B7ZAT4	Data unknown	None
E7CNR9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
B7Z4I7	Data unknown	None
Q4R1L1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404
A0S4R5	Data unknown	ECO:0000256|RuleBase:RU362117
A8K693	Multi-pass membrane protein	ECO:0000256|HAMAP-Rule:MF_03018
C9JPJ8	Data unknown	None
M0QYL0	Data unknown	None
A0A059RNN3	Data unknown	None
A7LFE0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
Q2LHQ8	Data unknown	ECO:0000256|RuleBase:RU362117
H3BUQ8	Data unknown	None
R9Y2B3	Data unknown	ECO:0000256|RuleBase:RU362117
A6Z4Y8	Data unknown	ECO:0000256|RuleBase:RU362117
A0A0B5JG23	Data unknown	None
A1A4D9	Data unknown	None
A0A097Q0W3	Data unknown	None
L7XUC5	Data unknown	ECO:0000256|RuleBase:RU362117
A0N0W7	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00583102
A6Z6A5	Data unknown	ECO:0000256|RuleBase:RU362117
A0A059QPY1	Data unknown	None
A0A1S5UWQ2	Data unknown	None
A0A1W2PPB5	Single-pass membrane protein	ECO:0000256|RuleBase:RU361271
Q59HF0	Data unknown	None
B6ETL4	Data unknown	None
B4YCH1	Single-pass membrane protein	ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291
B7Z2R5	Data unknown	None
B1AMV7	Data unknown	None
A0A096VTP9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
A8K112	Data unknown	None
C6ZRB9	Data unknown	None
J7HR70	Data unknown	None
Q308M1	Data unknown	None
A6Z9Z1	Data unknown	ECO:0000256|RuleBase:RU362117
T2HLG2	Data unknown	None
A0A059R8S9	Data unknown	None
I2E6J3	Data unknown	None
M4WDD3	Data unknown	None
A0A1S5UYW6	Data unknown	None
B4E140	Data unknown	None
H9LNZ7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
A0A023QMR7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
A0A097Q4B7	Data unknown	None
B3GRN7	Data unknown	None
B1NU70	Data unknown	None
D6RHI8	Data unknown	None
E9PK37	Data unknown	None
B2RC52	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003822
A0A1V1IFP6	Data unknown	None
A0A1W2PR05	Data unknown	None
B2Z573	Data unknown	ECO:0000256|RuleBase:RU362117
B4DS68	Data unknown	None
B2R774	Data unknown	None
B2R5T7	Data unknown	None
F1DMK2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
C1K0X7	Data unknown	None
E9PRG6	Data unknown	None
B7Z6W8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000681
F8VSI7	Data unknown	None
Q7YCE3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
A0A1W2PRX6	Data unknown	None
A0A023QST8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
D6RIU2	Data unknown	None
A0A1W2PRB0	Data unknown	None
F8WBG5	Data unknown	None
B4DGA8	Data unknown	None
B9EIN9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
X6RF05	Data unknown	None
A0A087X0Y7	Data unknown	None
H9P2S2	Data unknown	None
Q5QR55	Data unknown	None
Q8WY01	Data unknown	None
A5JQJ8	Data unknown	None
I6MRJ2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
G9LGD5	Data unknown	None
Q53T83	Data unknown	None
Q7Z454	Multi-pass membrane protein	ECO:0000256|RuleBase:RU362056
Q8N783	Data unknown	None
A0A059QMX2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
D9ZHP7	Data unknown	None
A0A1U9X8J5	Data unknown	None
B3UYF0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
Q5JT04	Data unknown	None
F2WG63	Data unknown	None
H7C336	Data unknown	None
B7ZB79	Data unknown	None
B5A939	Data unknown	None
E9PJP2	Data unknown	None
A0A1W2PRP8	Data unknown	None
E9PPF5	Data unknown	None
B7S714	Data unknown	None
D6RHZ8	Data unknown	None
A0A097Q0R3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
H9P068	Data unknown	ECO:0000256|RuleBase:RU362117
C9JNZ0	Data unknown	None
E9PP79	Data unknown	None
H3BNY2	Data unknown	None
M0R112	Data unknown	None
H0YN29	Data unknown	None
Q53FN6	Data unknown	None
Q5SNW4	Data unknown	None
I0CKB5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004424
Q96JT7	Data unknown	None
A1DTC3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A059RHT6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
B7Z6Y5	Data unknown	None
Q66K24	Data unknown	None
A0A1W2PQG9	Data unknown	None
B3KMS7	Data unknown	None
H9E7T2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
Q8N6J3	Data unknown	None
D7SF84	Data unknown	None
Q59GY1	Data unknown	None
B4E0J2	Data unknown	None
B7ZAT6	Multi-pass membrane protein	ECO:0000256|PIRNR:PIRNR000439
Q4ZJJ2	Data unknown	None
Q0Z7G2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
H3BMY5	Data unknown	None
Q2LHG9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
V9IWL9	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
A0A0A0QN56	Data unknown	ECO:0000256|RuleBase:RU362117
A0A059QKS9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
K7ENL4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361206
A7KBT6	Data unknown	None
A0A059QRF5	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
Q9P2Q9	Data unknown	None
A0A1U9X931	Data unknown	None
A0A1V0EFG5	Data unknown	None
B4DXN5	Data unknown	None
B2RCC7	Data unknown	None
X5BLL0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
H0Y3H2	Data unknown	None
A0A097IW98	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00674178
F5H867	Data unknown	None
Q2UVE8	Data unknown	None
C8CCX8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
O43576	Data unknown	None
A0A090KKK1	Data unknown	None
B4DMX8	Data unknown	None
F5GXD9	Data unknown	None
E5RFI9	Data unknown	None
A7XSQ0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
A0A088CNH3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
A0A1V0E407	Data unknown	None
A0A059QLE2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
Q14631	Data unknown	None
A0A059RNF3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
A0A087X0R9	Data unknown	None
L7NW09	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
A0A068J745	Data unknown	None
A0A140VK05	Data unknown	None
A0A1V0MDV2	Data unknown	ECO:0000256|RuleBase:RU362117
A0A1W2PRT9	Data unknown	None
E7EUT2	Data unknown	None
H7C4J5	Data unknown	None
E9PKA5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363110
Q53TC0	Data unknown	None
E7ER77	Data unknown	None
C9IYM7	Data unknown	None
H0YHY1	Data unknown	None
H0YF70	Data unknown	None
H0Y379	Data unknown	None
A6ZH05	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
E5QA75	Data unknown	ECO:0000256|RuleBase:RU362117
H9NIL3	Data unknown	None
V5NSW9	Data unknown	None
E5DYP0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
C9JZV9	Data unknown	None
B4DNX6	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00567639
B3KXY3	Data unknown	None
B4DQ70	Data unknown	None
B4DEB4	Data unknown	None
Q4G0R4	Data unknown	None
D6RG31	Data unknown	None
B3KQT6	Data unknown	None
E9PMI7	Data unknown	None
D6REJ1	Data unknown	None
G3C9Z5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
J3QS10	Data unknown	None
H0YMU0	Data unknown	None
I6UL51	Data unknown	None
A0A0A0MR67	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003808
I3Q4R3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
H3BNF5	Data unknown	None
A0A059QKC3	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
A0A059QM28	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
Q6VLP4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
V9N3D7	Data unknown	ECO:0000256|RuleBase:RU362117
F2Z2Z6	Data unknown	None
A0A059RP35	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
A0A059QNP1	Data unknown	None
V9JBQ6	Data unknown	None
A0A1V0MCS7	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00709542
A0A1U9WYZ0	Data unknown	None
A0A1W2PQ45	Data unknown	None
F6IQM0	Data unknown	None
E5RJL1	Data unknown	None
C9EA00	Data unknown	None
D6RA09	Data unknown	None
X5DNQ7	Data unknown	None
A8K6Q8	Data unknown	None
F5H2H3	Data unknown	None
H0YBQ8	Data unknown	None
Q6H2F8	Data unknown	None
Q7Z3R2	Data unknown	None
A0A067ZWQ3	Data unknown	None
B7Z1X6	Data unknown	None
D6CJC1	Data unknown	None
J3QQK2	Data unknown	None
C6ZRB7	Data unknown	None
A0A024RAQ7	Data unknown	None
G9LIB9	Single-pass membrane protein	ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291
U3KPV7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU362006
H3BQM3	Data unknown	None
M0QZP6	Data unknown	None
Q6ZUX8	Data unknown	None
Q305A9	Data unknown	ECO:0000256|RuleBase:RU362117
A0A059QPD2	Data unknown	None
A0A0N7IL20	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361244, ECO:0000256|SAAS:SAAS00583102
A0PJB0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003755
A0A126GVY3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A1U9XM06	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
A0A023Q5F4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
B4DET2	Data unknown	None
B2CB37	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00709542
B7Z552	Data unknown	None
B4E0H7	Data unknown	None
C9D661	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00709542
E9PJT6	Data unknown	None
A0A1W2PQI5	Data unknown	None
G5D861	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
Q4R1L5	Data unknown	None
B4DRA3	Data unknown	None
O43872	Data unknown	None
D7NUT9	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
I3L1J9	Data unknown	None
G9LEK4	Data unknown	ECO:0000256|RuleBase:RU362117
A0A059QIL9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
J7HM29	Data unknown	ECO:0000256|RuleBase:RU362117
A9P3T7	Data unknown	None
Q7YCD8	Data unknown	None
R9Y292	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
A0A059RF79	Data unknown	None
A0A097Q8J6	Data unknown	ECO:0000256|RuleBase:RU362117
Q29939	Data unknown	None
Q9UK19	Data unknown	None
E7EQ78	Data unknown	None
J3KN30	Data unknown	None
L7XQ59	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A1W1RN26	Data unknown	None
B4E188	Data unknown	None
Q4GL73	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A2VCL1	Data unknown	None
A0A1W1B6B2	Data unknown	None
B3KVJ9	Data unknown	None
C6EVS1	Data unknown	None
Q59FL8	Data unknown	None
A0A097Q610	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
Q96QG8	Data unknown	None
H7C1Q9	Data unknown	None
A0A059QUH8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
A7XSM8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
C9J3Z0	Data unknown	None
A8K2D2	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00543559
E1Y3Y4	Data unknown	None
H9SJA3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
B2RCY7	Data unknown	None
R9YB64	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A059RZW9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
H0YE11	Data unknown	None
H9S9G9	Data unknown	ECO:0000256|RuleBase:RU362117
Q6ZWP8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU362115
A0A075X6P1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A6Z0Y7	Data unknown	ECO:0000256|RuleBase:RU362117
Q5JWS1	Data unknown	None
A0A0A0PQ84	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404
F2WHZ0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
E7E3Z1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A1S6P8C1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
B4DLF0	Single-pass membrane protein	ECO:0000256|RuleBase:RU003318, ECO:0000256|SAAS:SAAS00596213
D6R923	Data unknown	None
A0A024R816	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361114
A8MZ77	Data unknown	None
C9JV55	Data unknown	None
I3QAX8	Data unknown	ECO:0000256|RuleBase:RU362117
A0A0A0PPE7	Data unknown	None
H9QUS2	Data unknown	None
F1AZI8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
A8MQT7	Data unknown	None
T2DQ74	Data unknown	None
Q59EZ3	Data unknown	None
D6C3E7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
E9PJE8	Data unknown	None
Q59ED3	Data unknown	None
J3KRW3	Data unknown	None
A0A059QF37	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
A0A1S6P745	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
A0A1S6M083	Data unknown	ECO:0000256|RuleBase:RU362117
Q8NBE9	Data unknown	None
C9JC66	Data unknown	None
E9PMW4	Data unknown	None
G3V4W1	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
B1N7G6	Data unknown	None
B4DX34	Data unknown	None
Q5TCS4	Data unknown	None
Q6H2F7	Data unknown	None
G9LED4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
J3QRU4	Data unknown	None
K4P1Y1	Data unknown	None
A0A059S424	Data unknown	ECO:0000256|RuleBase:RU362117
B2R6P4	Data unknown	None
G5D831	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
E7EW83	Data unknown	None
H9MSR5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
J3QRR6	Data unknown	None
W8DXL6	Data unknown	None
E9PI32	Data unknown	None
H9T1M7	Single-pass membrane protein	ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291
E9LCM4	Data unknown	ECO:0000256|RuleBase:RU362117
I3PZU8	Data unknown	None
M0R1F7	Data unknown	None
A0A059QJR3	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
A0A059RKZ9	Data unknown	None
O19712	Data unknown	None
A0A059QIM8	Data unknown	None
A0A059RM10	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
K7EQ13	Data unknown	None
K7ESP7	Data unknown	None
A0A023Q2M3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
Q06TD7	Data unknown	ECO:0000256|RuleBase:RU362117
B4DXM7	Data unknown	None
Q49AQ7	Data unknown	None
B4DP53	Data unknown	None
E7EWG0	Data unknown	ECO:0000256|SAAS:SAAS00548273
B4DEA0	Data unknown	None
Q5TLG0	Data unknown	None
C9JAX7	Data unknown	None
B2R6P2	Data unknown	None
M0R092	Data unknown	None
Q6NUL9	Data unknown	None
A0A1S6MXM6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
H7C2P5	Data unknown	None
V9GZ70	Data unknown	None
E9PIY2	Data unknown	None
Q53RG4	Data unknown	None
U3M9J2	Data unknown	None
A0A0A6YYJ2	Data unknown	None
B8X6N0	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00578748
Q8TEH6	Data unknown	None
Q6FGR7	Data unknown	None
A0A059S1L1	Data unknown	None
F5H5P3	Data unknown	None
F5GY58	Data unknown	None
H0Y755	Data unknown	None
A8K3V4	Data unknown	None
U5YMP9	Data unknown	None
A0A059QN76	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
A0A087WYZ5	Data unknown	None
Q3KR50	Data unknown	None
A6ZFB4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
Q4ZG00	Data unknown	None
S4R3A7	Data unknown	None
V9GYN1	Data unknown	None
A0A1U9IFB6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A1S6MR64	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
C8YID6	Data unknown	ECO:0000256|RuleBase:RU362117
E5RFP8	Data unknown	None
A8K9K1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361146
E2J3Y5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
F6RVM3	Data unknown	None
G9LGG6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
K7EM00	Data unknown	None
A0A1W2PPR8	Data unknown	None
B4E310	Data unknown	None
C9JQ35	Data unknown	None
B7Z263	Data unknown	None
A8K7V3	Data unknown	None
K9J973	Data unknown	None
Q5JW04	Data unknown	None
B4DGM6	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00674178
C8Y5L7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
E9PHI0	Data unknown	None
H0YCN5	Data unknown	None
A8KA01	Data unknown	None
F1B732	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
A0A059QB80	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
I3L3K1	Data unknown	None
A0A024R4N0	Data unknown	None
Q9H3L2	Data unknown	None
Q6WQ97	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A059RQV0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
A1DTI3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
A0A0C4DGF4	Data unknown	None
A0A1S6NZ18	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
A0A1W2PP26	Data unknown	None
H9E7F4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
B6HY79	Data unknown	None
J3QLS1	Data unknown	None
E7EW87	Data unknown	None
E9PH70	Data unknown	None
A0A060VD27	Data unknown	None
E7EMS3	Data unknown	None
F2WEK7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
Q8IVK2	Data unknown	None
A0A024R5E5	Data unknown	None
G5D821	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
Q6TKP8	Data unknown	None
X5D7C2	Data unknown	None
F8VW98	Data unknown	None
A0A059RMY0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
J3KQI6	Data unknown	None
B3KTH0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361151
B2R6C4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU362006
A0A1U9X7Y6	Data unknown	None
B9EIK5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
E9PCX9	Data unknown	None
F8WD82	Data unknown	None
A0A0A0PMV0	Data unknown	None
A0A096VY74	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
G9LJ13	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
B4DU31	Data unknown	None
A0A024R759	Data unknown	None
A0A068BUU2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
B7TCM6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
J7HT47	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
A0A059QTJ2	Data unknown	None
A1DVT6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
G3LGR1	Data unknown	None
A8KA29	Data unknown	None
Q0Z7S2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
Q6PIX8	Data unknown	None
B7WPN9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU362082
H3BSU7	Data unknown	None
A0A0C4DGM6	Data unknown	None
Q9BRN4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361221
Q6VK16	Data unknown	None
S4R350	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363110
A0A1W1RN18	Data unknown	None
B3KNJ8	Data unknown	None
D6RA76	Data unknown	None
A0A1W2PPN8	Data unknown	None
B2R627	Single-pass membrane protein	ECO:0000256|RuleBase:RU003762
C9J7K7	Data unknown	None
W8D4U9	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00709542
A0A1W2PNR7	Data unknown	None
D5MAV9	Data unknown	None
Q49AH3	Data unknown	None
W8DBM7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
B2R7A7	Data unknown	None
B2RA12	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003822
A8WF83	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
Q5QR42	Data unknown	None
R4X604	Single-pass membrane protein	ECO:0000256|RuleBase:RU363063
Q7Z6L4	Data unknown	None
Q6ICA1	Data unknown	None
A0A023Q7R1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
B4DZV8	Data unknown	None
B4DPA7	Data unknown	None
E9PNI3	Data unknown	None
Q9NQC5	Data unknown	None
A0A1S6P6U7	Data unknown	ECO:0000256|RuleBase:RU362117
B4E3Q1	Data unknown	None
Q7Z4M3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU362056
E7ET36	Data unknown	None
A0A024R871	Data unknown	None
H9QPP5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
H9T5H2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A059QDR4	Data unknown	None
A0A0B7NXX8	Data unknown	None
A0A068BWL1	Data unknown	None
A0A068BXN1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
A6ZHU1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A0B5JDJ1	Data unknown	None
A0A0C4DFT7	Data unknown	None
H0YIY3	Data unknown	None
I6VE22	Single-pass membrane protein	ECO:0000256|RuleBase:RU362059
A0A096WDG3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
I3PZE5	Data unknown	None
Q6LEU6	Data unknown	None
H9P5Q5	Data unknown	ECO:0000256|RuleBase:RU362117
A0A059QQF2	Data unknown	None
F2WI31	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00709542
Q7YCE4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
A0A0P0HX13	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361244, ECO:0000256|SAAS:SAAS00583102
A0A1V0E3J7	Data unknown	None
A0A1S6N6Y6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A6NMF3	Data unknown	None
Q59E93	Data unknown	None
Q68CP7	Data unknown	None
A0A059RXA6	Data unknown	None
H0Y9F7	Data unknown	None
Q5XLS8	Data unknown	None
B7Z2B1	Data unknown	None
N0BUK3	Data unknown	None
S6FRS2	Data unknown	None
B7Z4Q2	Data unknown	None
E9LAD9	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
G0TQY4	Data unknown	None
E5DYD9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
